ID,PRODUCTO,DIRECCION,LOCALIDAD,RECIBE
825,Lavarropas,8972 acker drive,Sarandi,Nathaniel
827,Plancha,6182 russell drive,Sarandi,Laurel
843,Televisor,12 red cloud street,Sarandi,Eydie
846,Televisor,4 5th hill,Sarandi,Thedric
848,Plancha,9 manley crossing,Sarandi,Noella
851,Mesa,43 charing cross junction,Sarandi,Othelia
855,Silla,38135 lawn parkway,Sarandi,Gussie
858,Televisor,5350 mcbride way,Sarandi,Benni
863,Pava,2 bluejay point,Sarandi,Valene
866,Mesa,693 saint paul center,Sarandi,Reggis
867,Aire acondicionado,70 monument way,Sarandi,Marylou
873,Silla,34 warner parkway,Sarandi,Clayborne
874,Plancha,644 village green alley,Sarandi,Eddy
877,Aire acondicionado,959 trailsway circle,Sarandi,Brice
879,Aire acondicionado,79700 carpenter way,Sarandi,Corrine
884,Mesa,951 stephen lane,Sarandi,Nance
887,Secarropas,09 hanover road,Sarandi,Marji
892,Televisor,60 marquette drive,Sarandi,Ashely
903,Pava,8920 summerview trail,Sarandi,Korney
917,Plancha,3 moose terrace,Sarandi,Giovanni
937,Mesa,83707 swallow circle,Sarandi,Irina
952,Mesa,1657 bunker hill alley,Sarandi,Adelina
969,Silla,33 summerview crossing,Sarandi,Reta
971,Lavarropas,7068 mendota avenue,Sarandi,Kit
981,Lavarropas,36930 bashford place,Sarandi,Alistair
986,Lavarropas,1 mitchell way,Sarandi,Bree
992,Pava,925 bowman point,Sarandi,Diana
1000,Televisor,17 old gate lane,Sarandi,Orton
